                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                0.47096,                 1.0127,                0.67352,                 1.0138,                0.83775,                 0.8024,                0.85649,                0.74663,                0.84037,                0.78394,                 0.8419,                0.73203,                0.55252,                 1.2381,                0.77723,                 1.0857,             0.00036551,             0.00036551,             0.00036551
                     55,                0.47496,                0.98831,                0.66223,                 1.0159,                0.86237,                0.76208,                0.84901,                0.73784,                0.86438,                0.75544,                0.83926,                 0.7269,                0.58513,                 1.2484,                 0.8077,                 1.1182,             0.00035789,             0.00035789,             0.00035789
                     56,                0.46963,                 1.0133,                0.66921,                 1.0075,                0.86916,                0.77662,                0.86462,                 0.7521,                0.86993,                0.77305,                0.85896,                0.74104,                0.58304,                 1.3039,                0.76695,                 1.1129,             0.00035028,             0.00035028,             0.00035028
                     57,                0.47223,                 1.0037,                0.67053,                 1.0122,                0.90206,                0.74306,                0.86297,                0.75583,                0.89751,                0.74529,                0.85496,                0.73825,                0.57277,                 1.3374,                0.79756,                 1.1043,             0.00034267,             0.00034267,             0.00034267
                     58,                0.46429,                0.98901,                0.65699,                 1.0077,                0.88614,                0.77423,                0.85966,                0.76243,                0.88647,                0.77245,                0.85242,                0.75037,                0.56338,                 1.2289,                0.76532,                 1.0959,             0.00033505,             0.00033505,             0.00033505
                     59,                0.46581,                 1.0012,                0.66075,                 1.0069,                0.87619,                0.76336,                 0.8553,                0.74531,                0.87521,                0.75618,                0.84326,                0.73554,                0.56398,                 1.3033,                0.80156,                 1.0995,             0.00032744,             0.00032744,             0.00032744
                     60,                0.46471,                 1.0032,                 0.6373,                 1.0037,                 0.8395,                0.77687,                  0.852,                0.75081,                0.84505,                0.76083,                0.84188,                0.73738,                0.54753,                 1.2295,                 0.8054,                 1.0779,             0.00031983,             0.00031983,             0.00031983
                     61,                0.46509,                0.99899,                0.64531,                 1.0113,                0.89901,                 0.7749,                0.85862,                 0.7529,                0.89705,                0.77002,                0.84592,                0.74034,                0.55694,                 1.2668,                 0.7653,                 1.0825,             0.00031221,             0.00031221,             0.00031221
                     62,                 0.4577,                0.97168,                0.63328,                  1.004,                0.86372,                0.80938,                0.87007,                0.76901,                0.85832,                0.80322,                0.85669,                0.75123,                0.55071,                 1.2389,                 0.7368,                 1.0915,              0.0003046,              0.0003046,              0.0003046
                     63,                0.45676,                0.99064,                0.62852,                0.99772,                0.85926,                0.80738,                0.86685,                0.76507,                  0.856,                0.80508,                0.85852,                0.75039,                0.54199,                   1.25,                0.73281,                 1.0789,             0.00029699,             0.00029699,             0.00029699
                     64,                0.46096,                0.97885,                0.61534,                 1.0024,                0.86954,                0.79299,                 0.8698,                0.76145,                0.86523,                0.78871,                0.85967,                0.74549,                0.57341,                 1.2862,                0.78257,                 1.1099,             0.00028937,             0.00028937,             0.00028937
                     65,                0.45052,                0.95453,                0.61472,                  1.001,                0.85058,                0.80473,                0.86964,                 0.7637,                0.84614,                0.80084,                0.85752,                0.75354,                0.56631,                 1.2307,                0.76045,                 1.1082,             0.00028176,             0.00028176,             0.00028176
